(in progress)
~~ Albums_2021 ~~
1. Yasuke; Flying Lotus
2. Wilds; Andy Shauf
3. Once Twice Melody EP; Beach House
4. Sympathy For Life; Parquet Courts
5. True Love; Hovvdy
6. Things Take Time, Take Time; Courtney Barnett
7. Deep End EP; Tearjerker
8. Music For Psychedelic Therapy; Jon Hopkins
9. Shade; Grouper
10. I Want The Door To Open; Lala Lala
11. Buds, Ovlov
12. Infinite Granite; Deafheaven
13. View No Country; Kraus
14. JOY; Dusky
15. Tread; Ross From Friends
16. Mirrors; DJ Seinfeld
17. Smothered; Oberhofer
18. Alter Echoes; Triptides
19. The Shadow I Remember; Cloud Nothings


~~ Honorable_Mention ~~
Donda; Kanye West
Half A Human; Real Estate
Promises; Floating Points, Pharoah Sanders
Long Lost; Lord Huron
Future Past Life; STRFKR
