~~ Albums_2020 ~~
Neon Skyline, Andy Shauf
Making a Door Less Open , Car Seat Headrest
Mystic Familiar, Dan Deacon
The Great Dismal, Nothing
Inner Song, Kelly Lee Owens
The Universal Want, Doves
Sundowner, Kevin Morby
Down in the Weeds, Where the World Once Was; Bright Eyes
The Slow Rush, Tame Impala
Purple Noon, Washed Out
Virga I, Eluvium
RTJ4, Run The Jewels
Music For Silence, Nick Murphy
Sixteen Oceans, Four Tet
Continuous Portrait, Inventions
Simulcast, Tycho
Atlas Vending, Metz
Sleep On The Wing, Bibio
Articulation, Rival Consoles
Depressedelica, Elvis Depressedly
The New Abnormal, The Strokes


~~ Honorable_Mention ~~
Royal Green, Royal Green
Capricorn, Trevor Powers
Cry , Cigarettes After Sex
Suddenly, Caribou
The Main Thing, Real Estate
Love + Light, Daniel Avery
Muzz, Muzz
Hazel, Dukes Of Chutney
Empty, Nils Frahm
In Decay, Too; Com Truise








